itemid,ManCode,productname,UKSize,Barcode,Available Physical
U2EA7101-14-4XL,U2EA7101,Mizuno - Men Auth Singlet(m) - 14,4XL,,0
U2EA7301-14-XS,U2EA7301,Mizuno - Men Auth Singlet(m) - 14,XS,,20
32EE8A01-09-XS,32EE8A01,Mizuno - Shizuoka T Fleece (m) - Black,XS,,0
32EE8A01-09-S,32EE8A01,Mizuno - Shizuoka T Fleece (m) - Black,S,,20
32EE8A01-09-M,32EE8A01,Mizuno - Shizuoka T Fleece (m) - Black,M,,0
32EE8A01-09-L,32EE8A01,Mizuno - Shizuoka T Fleece (m) - Black,L,,0
32EE8A01-09-XL,32EE8A01,Mizuno - Shizuoka T Fleece (m) - Black,XL,,20
32EE8A01-09-XXL,32EE8A01,Mizuno - Shizuoka T Fleece (m) - Black,XXL,,20
32EE8A01-09-3XL,32EE8A01,Mizuno - Shizuoka T Fleece (m) - Black,3XL,,20
32EE8A01-09-4XL,32EE8A01,Mizuno - Shizuoka T Fleece (m) - Black,4XL,,20
32EC8A02-09-S,32EC8A02,Mizuno - Shizuoka Spls Top M(m) - Black,S,,20
32EC8A02-09-M,32EC8A02,Mizuno - Shizuoka Spls Top M(m) - Black,M,,13
32EC8A02-09-L,32EC8A02,Mizuno - Shizuoka Spls Top M(m) - Black,L,,16
32EC8A02-09-XL,32EC8A02,Mizuno - Shizuoka Spls Top M(m) - Black,XL,,20
32EC8A02-09-XXL,32EC8A02,Mizuno - Shizuoka Spls Top M(m) - Black,XXL,,20
32EC8A02-09-3XL,32EC8A02,Mizuno - Shizuoka Spls Top M(m) - Black,3XL,,20
32EC8A02-09-4XL,32EC8A02,Mizuno - Shizuoka Spls Top M(m) - Black,4XL,,20
32FC9A03-09-S,32FC9A03,Mizuno - Nara Trn Swt M(m) - 09,S,,20
32FC9A03-09-M,32FC9A03,Mizuno - Nara Trn Swt M(m) - 09,M,,20
32FC9A03-09-L,32FC9A03,Mizuno - Nara Trn Swt M(m) - 09,L,,20
32FC9A03-09-XL,32FC9A03,Mizuno - Nara Trn Swt M(m) - 09,XL,,20
32FC9A03-09-XXL,32FC9A03,Mizuno - Nara Trn Swt M(m) - 09,XXL,,20
32FC9A03-09-3XL,32FC9A03,Mizuno - Nara Trn Swt M(m) - 09,3XL,,20
32FC9A03-09-4XL,32FC9A03,Mizuno - Nara Trn Swt M(m) - 09,4XL,,4
32FC9A03-09-XS,32FC9A03,Mizuno - Nara Trn Swt M(m) - 09,XS,,0
32FD9A01-09-S,32FD9A01,Mizuno - Nara Track Pant M(m) - Black,S,,20
32FD9A01-09-M,32FD9A01,Mizuno - Nara Track Pant M(m) - Black,M,,20
32FD9A01-09-L,32FD9A01,Mizuno - Nara Track Pant M(m) - Black,L,,20
32FD9A01-09-XL,32FD9A01,Mizuno - Nara Track Pant M(m) - Black,XL,,20
32FD9A01-09-XXL,32FD9A01,Mizuno - Nara Track Pant M(m) - Black,XXL,,20
32FD9A01-09-3XL,32FD9A01,Mizuno - Nara Track Pant M(m) - Black,3XL,,20
