Handle,Option1 Value,Option2 Value,Option3 Value,SKU,HS Code,COO,Location,Incoming,Unavailable,Committed,Available,On hand
mizuno-shizuoka-ft-tee-w-w-navy,XS,,,32EA8C05-14-XS,,,Antrim,,,,20,20
mizuno-shizuoka-ft-tee-w-w-navy,S,,,32EA8C05-14-S,,,Antrim,,,,20,20
mizuno-shizuoka-ft-tee-w-w-navy,M,,,32EA8C05-14-M,,,Antrim,,,,10,10
mizuno-shizuoka-ft-tee-w-w-navy,L,,,32EA8C05-14-L,,,Antrim,,,,20,20
mizuno-shizuoka-ft-tee-w-w-navy,XL,,,32EA8C05-14-XL,,,Antrim,,,,0,0
mizuno-shizuoka-ft-tee-w-w-navy,XXL,,,32EA8C05-14-XXL,,,Antrim,,,,13,13
mizuno-shizuoka-ft-tee-w-w-navy,3XL,,,32EA8C05-14-3XL,,,Antrim,,,,0,0
mizuno-shizuoka-ft-polo-w-w-grey,XS,,,32EA8C06-05-XS,,,Antrim,,,,0,0
mizuno-shizuoka-ft-polo-w-w-grey,S,,,32EA8C06-05-S,,,Antrim,,,,0,0
mizuno-shizuoka-ft-polo-w-w-grey,M,,,32EA8C06-05-M,,,Antrim,,,,0,0
mizuno-shizuoka-ft-polo-w-w-grey,L,,,32EA8C06-05-L,,,Antrim,,,,0,0
mizuno-shizuoka-ft-polo-w-w-grey,XL,,,32EA8C06-05-XL,,,Antrim,,,,0,0
mizuno-shizuoka-ft-polo-w-w-grey,XXL,,,32EA8C06-05-XXL,,,Antrim,,,,0,0
mizuno-shizuoka-ft-polo-w-w-grey,3XL,,,32EA8C06-05-3XL,,,Antrim,,,,0,0
mizuno-shizuoka-ft-polo-w-w-navy,XS,,,32EA8C06-14-XS,,,Antrim,,,,20,20
mizuno-shizuoka-ft-polo-w-w-navy,S,,,32EA8C06-14-S,,,Antrim,,,,20,20
mizuno-shizuoka-ft-polo-w-w-navy,M,,,32EA8C06-14-M,,,Antrim,,,,20,20
mizuno-shizuoka-ft-polo-w-w-navy,L,,,32EA8C06-14-L,,,Antrim,,,,20,20
mizuno-shizuoka-ft-polo-w-w-navy,XL,,,32EA8C06-14-XL,,,Antrim,,,,20,20
mizuno-shizuoka-ft-polo-w-w-navy,XXL,,,32EA8C06-14-XXL,,,Antrim,,,,20,20
mizuno-shizuoka-ft-polo-w-w-navy,3XL,,,32EA8C06-14-3XL,,,Antrim,,,,0,0
mizuno-shizuoka-t-pant-w-w-black,XS,,,32ED8C01-09-XS,,,Antrim,,,,2,2
mizuno-shizuoka-t-pant-w-w-black,S,,,32ED8C01-09-S,,,Antrim,,,,7,7
mizuno-shizuoka-t-pant-w-w-black,M,,,32ED8C01-09-M,,,Antrim,,,,17,17
mizuno-shizuoka-t-pant-w-w-black,L,,,32ED8C01-09-L,,,Antrim,,,,1,1
mizuno-shizuoka-t-pant-w-w-black,XL,,,32ED8C01-09-XL,,,Antrim,,,,8,8
mizuno-shizuoka-t-pant-w-w-black,XXL,,,32ED8C01-09-XXL,,,Antrim,,,,0,0
mizuno-shizuoka-t-pant-w-w-black,3XL,,,32ED8C01-09-3XL,,,Antrim,,,,0,0
mizuno-nara-track-pant-w-w-black,XS,,,32EDA701-09-XS,,,Antrim,,,,20,20
mizuno-nara-track-pant-w-w-black,S,,,32EDA701-09-S,,,Antrim,,,,20,20
mizuno-nara-track-pant-w-w-black,M,,,32EDA701-09-M,,,Antrim,,,,20,20
mizuno-nara-track-pant-w-w-black,L,,,32EDA701-09-L,,,Antrim,,,,20,20
mizuno-nara-track-pant-w-w-black,XL,,,32EDA701-09-XL,,,Antrim,,,,20,20
mizuno-nara-track-pant-w-w-black,XXL,,,32EDA701-09-XXL,,,Antrim,,,,20,20
mizuno-nara-track-pant-w-w-black,3XL,,,32EDA701-09-3XL,,,Antrim,,,,0,0
mizuno-shizuoka-ft-tee-jr-c-black,Y6,,,32EA8B05-09-Y6,,,Antrim,,,,0,0
mizuno-shizuoka-ft-tee-jr-c-black,Y8,,,32EA8B05-09-Y8,,,Antrim,,,,0,0
mizuno-shizuoka-ft-tee-jr-c-black,Y10,,,32EA8B05-09-Y10,,,Antrim,,,,0,0
mizuno-shizuoka-ft-tee-jr-c-black,Y12,,,32EA8B05-09-Y12,,,Antrim,,,,0,0
mizuno-shizuoka-ft-tee-jr-c-black,YXS,,,32EA8B05-09-YXS,,,Antrim,,,,0,0
mizuno-ryoko-stick-bag-u-black,NS,,,33EY0W12-09-NS,,,Antrim,,,,20,20
mizuno-ryoko-stick-backpack-u-black,NS,,,33EY0W13-09-NS,,,Antrim,,,,6,6
mizuno-ryoko-stick-holdall-u-black,NS,,,33EY0W14-09-NS,,,Antrim,,,,20,20
