Handle,Option1 Value,Option2 Value,Option3 Value,SKU,Location,On hand (new)
32ee8a01-09,3XL,,,32EE8A01-09-3XL,Antrim,20
32ee8a01-09,4XL,,,32EE8A01-09-4XL,Antrim,20
32ec8a02-09,S,,,32EC8A02-09-S,Antrim,20
32ec8a02-09,M,,,32EC8A02-09-M,Antrim,13
32ec8a02-09,L,,,32EC8A02-09-L,Antrim,16
32ec8a02-09,XL,,,32EC8A02-09-XL,Antrim,20
32ec8a02-09,XXL,,,32EC8A02-09-XXL,Antrim,20
32ec8a02-09,3XL,,,32EC8A02-09-3XL,Antrim,20
32ec8a02-09,4XL,,,32EC8A02-09-4XL,Antrim,20
32fc9a03-09,S,,,32FC9A03-09-S,Antrim,20
32fc9a03-09,M,,,32FC9A03-09-M,Antrim,20
32fc9a03-09,L,,,32FC9A03-09-L,Antrim,20
32fc9a03-09,XL,,,32FC9A03-09-XL,Antrim,20
32fc9a03-09,XXL,,,32FC9A03-09-XXL,Antrim,20
32fc9a03-09,3XL,,,32FC9A03-09-3XL,Antrim,20
32fc9a03-09,4XL,,,32FC9A03-09-4XL,Antrim,4
32fc9a03-09,XS,,,32FC9A03-09-XS,Antrim,0
32eca505-09,XS,,,32ECA505-09-XS,Antrim,0
32eca505-09,S,,,32ECA505-09-S,Antrim,20
32eca505-09,M,,,32ECA505-09-M,Antrim,20
32eca505-09,L,,,32ECA505-09-L,Antrim,20
32eca505-09,XL,,,32ECA505-09-XL,Antrim,20
32eca505-09,XXL,,,32ECA505-09-XXL,Antrim,20
32eca505-09,3XL,,,32ECA505-09-3XL,Antrim,20
32eca505-09,4XL,,,32ECA505-09-4XL,Antrim,9
32fd9a01-09,S,,,32FD9A01-09-S,Antrim,20
32fd9a01-09,M,,,32FD9A01-09-M,Antrim,20
32fd9a01-09,L,,,32FD9A01-09-L,Antrim,20
32fd9a01-09,XL,,,32FD9A01-09-XL,Antrim,20
32fd9a01-09,XXL,,,32FD9A01-09-XXL,Antrim,20
32fd9a01-09,3XL,,,32FD9A01-09-3XL,Antrim,20
32fd9a01-09,4XL,,,32FD9A01-09-4XL,Antrim,20
32ec9c60-07,XS,,,32EC9C60-07-XS,Antrim,0
32ec9c60-07,S,,,32EC9C60-07-S,Antrim,0
