Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Compare At Price,Variant Taxable,Status,Image Src,Image Position,Cost per item
mizuno-sapporo-hybrid-glt-m-m-black,,,,,,,FALSE,Size,4XL,32FE9A06-09-4XL,50,,TRUE,draft,,,25
mizuno-sapporo-hybrid-glt-m-m-black,,,,,,,FALSE,Size,XS,32FE9A06-09-XS,50,,TRUE,draft,,,25
mizuno-mizuno-club-jacket-m-m-black,Mizuno - Mizuno Club Jacket M(m) - Black,,Mizuno,Apparel & Accessories,Teamwear,"mizuno-teamwear, style-32fe9a07, colour-09, color-black, vat-standard",FALSE,Size,S,32FE9A07-09-S,50,,TRUE,draft,https://www.mizunodirect.com/img_catalog/32FE9A0709.jpg,1,25
mizuno-mizuno-club-jacket-m-m-black,,,,,,,FALSE,Size,M,32FE9A07-09-M,50,,TRUE,draft,,,25
mizuno-mizuno-club-jacket-m-m-black,,,,,,,FALSE,Size,L,32FE9A07-09-L,50,,TRUE,draft,,,25
mizuno-mizuno-club-jacket-m-m-black,,,,,,,FALSE,Size,XL,32FE9A07-09-XL,50,,TRUE,draft,,,25
mizuno-mizuno-club-jacket-m-m-black,,,,,,,FALSE,Size,XXL,32FE9A07-09-XXL,50,,TRUE,draft,,,25
mizuno-mizuno-club-jacket-m-m-black,,,,,,,FALSE,Size,3XL,32FE9A07-09-3XL,50,,TRUE,draft,,,25
mizuno-mizuno-club-jacket-m-m-black,,,,,,,FALSE,Size,4XL,32FE9A07-09-4XL,50,,TRUE,draft,,,25
mizuno-sideline-jacket-m-m-black,Mizuno - Sideline Jacket M(m) - Black,,Mizuno,Apparel & Accessories,Teamwear,"mizuno-teamwear, style-32ee2a10, colour-09, color-black, vat-standard",FALSE,Size,S,32EE2A10-09-S,,,TRUE,draft,,1,
mizuno-sideline-jacket-m-m-black,,,,,,,FALSE,Size,M,32EE2A10-09-M,,,TRUE,draft,,,
mizuno-sideline-jacket-m-m-black,,,,,,,FALSE,Size,L,32EE2A10-09-L,,,TRUE,draft,,,
mizuno-sideline-jacket-m-m-black,,,,,,,FALSE,Size,XL,32EE2A10-09-XL,,,TRUE,draft,,,
mizuno-sideline-jacket-m-m-black,,,,,,,FALSE,Size,XXL,32EE2A10-09-XXL,,,TRUE,draft,,,
mizuno-sideline-jacket-m-m-black,,,,,,,FALSE,Size,3XL,32EE2A10-09-3XL,,,TRUE,draft,,,
mizuno-sideline-jacket-m-m-black,,,,,,,FALSE,Size,4XL,32EE2A10-09-4XL,,,TRUE,draft,,,
mizuno-sideline-jacket-m-m-09,Mizuno - Sideline Jacket M(m) - 09,,Mizuno,Apparel & Accessories,Teamwear,"mizuno-teamwear, style-32ee9a10, colour-09, vat-standard",FALSE,Size,S,32EE9A10-09-S,50,,TRUE,draft,https://www.mizunodirect.com/img_catalog/32EE9A1009.jpg,1,25
mizuno-sideline-jacket-m-m-09,,,,,,,FALSE,Size,M,32EE9A10-09-M,50,,TRUE,draft,,,25
mizuno-sideline-jacket-m-m-09,,,,,,,FALSE,Size,L,32EE9A10-09-L,50,,TRUE,draft,,,25
mizuno-sideline-jacket-m-m-09,,,,,,,FALSE,Size,XL,32EE9A10-09-XL,50,,TRUE,draft,,,25
mizuno-sideline-jacket-m-m-09,,,,,,,FALSE,Size,XXL,32EE9A10-09-XXL,50,,TRUE,draft,,,25
mizuno-sideline-jacket-m-m-09,,,,,,,FALSE,Size,3XL,32EE9A10-09-3XL,50,,TRUE,draft,,,25
mizuno-sideline-jacket-m-m-09,,,,,,,FALSE,Size,4XL,32EE9A10-09-4XL,50,,TRUE,draft,,,25
mizuno-uni-auth-rain-jacket-m-14,Mizuno - Uni Auth Rain Jacket(m) - 14,,Mizuno,Apparel & Accessories,Teamwear,"mizuno-teamwear, style-u2ee7101, colour-14, vat-standard",FALSE,Size,XXS,U2EE7101-14-XXS,50,,TRUE,draft,,1,25
mizuno-uni-auth-rain-jacket-m-14,,,,,,,FALSE,Size,XS,U2EE7101-14-XS,50,,TRUE,draft,,,25
mizuno-uni-auth-rain-jacket-m-14,,,,,,,FALSE,Size,S,U2EE7101-14-S,50,,TRUE,draft,,,25
mizuno-uni-auth-rain-jacket-m-14,,,,,,,FALSE,Size,M,U2EE7101-14-M,50,,TRUE,draft,,,25
mizuno-uni-auth-rain-jacket-m-14,,,,,,,FALSE,Size,L,U2EE7101-14-L,50,,TRUE,draft,,,25
mizuno-uni-auth-rain-jacket-m-14,,,,,,,FALSE,Size,XL,U2EE7101-14-XL,50,,TRUE,draft,,,25
